# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  3.60000E+01                6.08717166325682E+00  -1.14422648510941E-05   3.31792827820029E-05   1.23637627177842E-04   1.86257297572629E-04
  3.65000E+01                6.08694541092585E+00  -1.14353998675089E-05   3.31728702218971E-05   1.23577677419419E-04   1.86167944828206E-04
  3.70000E+01                6.08671904060034E+00  -1.14285367530049E-05   3.31664600084556E-05   1.23521396693218E-04   1.86084067565181E-04
  3.75000E+01                6.08649255584470E+00  -1.14216755068292E-05   3.31600521334674E-05   1.23468604997026E-04   1.86005395434721E-04
  3.80000E+01                6.08626595978773E+00  -1.14148161282580E-05   3.31536465898672E-05   1.23419143005104E-04   1.85931689308786E-04
  3.85000E+01                6.08603925526018E+00  -1.14079586165912E-05   3.31472433713724E-05   1.23372865703968E-04   1.85862731729225E-04
  3.90000E+01                6.08581244490004E+00  -1.14011029711466E-05   3.31408424721271E-05   1.23329637502412E-04   1.85798319563089E-04
  3.95000E+01                6.08558553123384E+00  -1.13942491912533E-05   3.31344438865140E-05   1.23289328598749E-04   1.85738258539787E-04
  4.00000E+01                6.08535851673184E+00  -1.13873972762473E-05   3.31280476091346E-05   1.23251812399879E-04   1.85682359363060E-04
  4.05000E+01                6.08513140384609E+00  -1.13805472254676E-05   3.31216536344763E-05   1.23216963802685E-04   1.85630435114502E-04
  4.10000E+01                6.08490419503661E+00  -1.13736990382537E-05   3.31152619568578E-05   1.23184658166695E-04   1.85582299692856E-04
  4.15000E+01                6.08467689277951E+00  -1.13668527139444E-05   3.31088725706608E-05   1.23154770826763E-04   1.85537767062943E-04
  4.20000E+01                6.08444949957067E+00  -1.13600082518773E-05   3.31024854699807E-05   1.23127177014387E-04   1.85496651117714E-04
  4.25000E+01                6.08422201792195E+00  -1.13531656513884E-05   3.30961006489025E-05   1.23101752075659E-04   1.85458765985932E-04
  4.30000E+01                6.08399445035097E+00  -1.13463249118130E-05   3.30897181013577E-05   1.23078371892173E-04   1.85423926645318E-04
  4.35000E+01                6.08376679936828E+00  -1.13394860324860E-05   3.30833378212182E-05   1.23056913428026E-04   1.85391949726153E-04
  4.40000E+01                6.08353906746402E+00  -1.13326490127438E-05   3.30769598023297E-05   1.23037255341295E-04   1.85362654413106E-04
  4.45000E+01                6.08331125709641E+00  -1.13258138519244E-05   3.30705840385942E-05   1.23019278611789E-04   1.85335863373089E-04
  4.50000E+01                6.08308337067337E+00  -1.13189805493688E-05   3.30642105239671E-05   1.23002867148704E-04   1.85311403654664E-04
  4.55000E+01                6.08285541054032E+00  -1.13121491044227E-05   3.30578392524046E-05   1.22987908351649E-04   1.85289107519172E-04
  4.60000E+01                6.08262737897141E+00  -1.13053195164366E-05   3.30514702181535E-05   1.22974293607111E-04   1.85268813176675E-04
  4.65000E+01                6.08239927815560E+00  -1.12984917847671E-05   3.30451034155118E-05   1.22961918709176E-04   1.85250365409861E-04
  4.70000E+01                6.08217111018930E+00  -1.12916659087777E-05   3.30387388390365E-05   1.22950684199051E-04   1.85233616077607E-04
  4.75000E+01                6.08194287706979E+00  -1.12848418878393E-05   3.30323764835249E-05   1.22940495622187E-04   1.85218424496328E-04
  4.80000E+01                6.08171458069203E+00  -1.12780197213307E-05   3.30260163439156E-05   1.22931263705229E-04   1.85204657702279E-04
  4.85000E+01                6.08148622284184E+00  -1.12711994086388E-05   3.30196584154944E-05   1.22922904457437E-04   1.85192190601672E-04
  4.90000E+01                6.08125780519772E+00  -1.12643809491592E-05   3.30133026937166E-05   1.22915339202902E-04   1.85180906017968E-04
  4.95000E+01                6.08102932932773E+00  -1.12575643422959E-05   3.30069491744010E-05   1.22908494550978E-04   1.85170694647309E-04
  5.00000E+01                6.08080079669105E+00  -1.12507495874614E-05   3.30005978535433E-05   1.22902302312874E-04   1.85161454933910E-04
