# Time          4.0000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       2.7550E+00       1.8248E-06       1.0115E-07       3.7685E-05       1.8617E-05
       2.7650E+00       1.8245E-06       1.0080E-07       3.7685E-05       1.8617E-05
       2.7750E+00       1.8242E-06       1.0046E-07       3.7685E-05       1.8617E-05
       2.7850E+00       1.8239E-06       1.0012E-07       3.7686E-05       1.8617E-05
       2.7950E+00       1.8236E-06       9.9780E-08       3.7686E-05       1.8617E-05
       2.8050E+00       1.8233E-06       9.9446E-08       3.7686E-05       1.8618E-05
       2.8150E+00       1.8230E-06       9.9116E-08       3.7686E-05       1.8618E-05
       2.8250E+00       1.8227E-06       9.8790E-08       3.7686E-05       1.8618E-05
       2.8350E+00       1.8224E-06       9.8468E-08       3.7687E-05       1.8618E-05
       2.8450E+00       1.8221E-06       9.8149E-08       3.7687E-05       1.8618E-05
       2.8550E+00       1.8217E-06       9.7836E-08       3.7687E-05       1.8618E-05
       2.8650E+00       1.8214E-06       9.7526E-08       3.7687E-05       1.8618E-05
       2.8750E+00       1.8211E-06       9.7221E-08       3.7687E-05       1.8618E-05
       2.8850E+00       1.8208E-06       9.6922E-08       3.7688E-05       1.8619E-05
       2.8950E+00       1.8205E-06       9.6627E-08       3.7688E-05       1.8619E-05
       2.9050E+00       1.8201E-06       9.6339E-08       3.7688E-05       1.8619E-05
       2.9150E+00       1.8198E-06       9.6057E-08       3.7688E-05       1.8619E-05
       2.9250E+00       1.8195E-06       9.5783E-08       3.7688E-05       1.8619E-05
       2.9350E+00       1.8191E-06       9.5519E-08       3.7688E-05       1.8619E-05
       2.9450E+00       1.8188E-06       9.5267E-08       3.7689E-05       1.8619E-05
       2.9550E+00       1.8185E-06       9.5032E-08       3.7689E-05       1.8619E-05
       2.9650E+00       1.8183E-06       9.4817E-08       3.7689E-05       1.8620E-05
       2.9750E+00       1.8180E-06       9.4633E-08       3.7689E-05       1.8620E-05
       2.9850E+00       1.8178E-06       9.4490E-08       3.7689E-05       1.8620E-05
       2.9950E+00       1.8177E-06       9.4405E-08       3.7689E-05       1.8620E-05
