# Time          1.5000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       1.7950E+00       3.4719E-07       7.4118E-09       1.2912E-05       5.9993E-06
       1.8050E+00       3.4416E-07       7.4718E-09       1.2903E-05       6.0095E-06
       1.8150E+00       3.4113E-07       7.5335E-09       1.2895E-05       6.0194E-06
       1.8250E+00       3.3810E-07       7.5970E-09       1.2887E-05       6.0290E-06
       1.8350E+00       3.3508E-07       7.6621E-09       1.2879E-05       6.0382E-06
       1.8450E+00       3.3206E-07       7.7289E-09       1.2871E-05       6.0472E-06
       1.8550E+00       3.2905E-07       7.7974E-09       1.2864E-05       6.0559E-06
       1.8650E+00       3.2604E-07       7.8676E-09       1.2857E-05       6.0643E-06
       1.8750E+00       3.2303E-07       7.9394E-09       1.2850E-05       6.0725E-06
       1.8850E+00       3.2004E-07       8.0129E-09       1.2844E-05       6.0804E-06
       1.8950E+00       3.1704E-07       8.0882E-09       1.2838E-05       6.0880E-06
       1.9050E+00       3.1406E-07       8.1650E-09       1.2832E-05       6.0954E-06
       1.9150E+00       3.1108E-07       8.2436E-09       1.2826E-05       6.1025E-06
       1.9250E+00       3.0810E-07       8.3239E-09       1.2821E-05       6.1094E-06
       1.9350E+00       3.0514E-07       8.4058E-09       1.2815E-05       6.1161E-06
       1.9450E+00       3.0218E-07       8.4894E-09       1.2810E-05       6.1225E-06
       1.9550E+00       2.9923E-07       8.5747E-09       1.2806E-05       6.1288E-06
       1.9650E+00       2.9629E-07       8.6617E-09       1.2801E-05       6.1348E-06
       1.9750E+00       2.9336E-07       8.7503E-09       1.2797E-05       6.1406E-06
       1.9850E+00       2.9044E-07       8.8406E-09       1.2792E-05       6.1462E-06
       1.9950E+00       2.8753E-07       8.9326E-09       1.2788E-05       6.1516E-06
       2.0050E+00       2.8463E-07       9.0263E-09       1.2785E-05       6.1569E-06
       2.0150E+00       2.8175E-07       9.1216E-09       1.2781E-05       6.1619E-06
       2.0250E+00       2.7887E-07       9.2186E-09       1.2777E-05       6.1668E-06
       2.0350E+00       2.7600E-07       9.3173E-09       1.2774E-05       6.1715E-06
       2.0450E+00       2.7315E-07       9.4176E-09       1.2771E-05       6.1760E-06
       2.0550E+00       2.7030E-07       9.5196E-09       1.2768E-05       6.1804E-06
       2.0650E+00       2.6748E-07       9.6232E-09       1.2765E-05       6.1847E-06
       2.0750E+00       2.6466E-07       9.7285E-09       1.2762E-05       6.1887E-06
       2.0850E+00       2.6186E-07       9.8354E-09       1.2760E-05       6.1927E-06
       2.0950E+00       2.5907E-07       9.9440E-09       1.2757E-05       6.1965E-06
       2.1050E+00       2.5629E-07       1.0054E-08       1.2755E-05       6.2001E-06
       2.1150E+00       2.5353E-07       1.0166E-08       1.2753E-05       6.2037E-06
       2.1250E+00       2.5078E-07       1.0279E-08       1.2751E-05       6.2071E-06
       2.1350E+00       2.4805E-07       1.0394E-08       1.2749E-05       6.2103E-06
       2.1450E+00       2.4533E-07       1.0511E-08       1.2747E-05       6.2135E-06
       2.1550E+00       2.4263E-07       1.0629E-08       1.2745E-05       6.2166E-06
       2.1650E+00       2.3995E-07       1.0749E-08       1.2743E-05       6.2195E-06
       2.1750E+00       2.3728E-07       1.0870E-08       1.2742E-05       6.2224E-06
       2.1850E+00       2.3462E-07       1.0993E-08       1.2740E-05       6.2251E-06
       2.1950E+00       2.3199E-07       1.1117E-08       1.2739E-05       6.2277E-06
       2.2050E+00       2.2937E-07       1.1243E-08       1.2738E-05       6.2303E-06
       2.2150E+00       2.2677E-07       1.1370E-08       1.2737E-05       6.2327E-06
       2.2250E+00       2.2418E-07       1.1499E-08       1.2735E-05       6.2351E-06
       2.2350E+00       2.2161E-07       1.1629E-08       1.2734E-05       6.2374E-06
       2.2450E+00       2.1907E-07       1.1760E-08       1.2733E-05       6.2396E-06
       2.2550E+00       2.1653E-07       1.1893E-08       1.2732E-05       6.2417E-06
       2.2650E+00       2.1402E-07       1.2028E-08       1.2732E-05       6.2437E-06
       2.2750E+00       2.1153E-07       1.2163E-08       1.2731E-05       6.2457E-06
       2.2850E+00       2.0906E-07       1.2300E-08       1.2730E-05       6.2476E-06
       2.2950E+00       2.0660E-07       1.2439E-08       1.2729E-05       6.2494E-06
       2.3050E+00       2.0416E-07       1.2578E-08       1.2729E-05       6.2512E-06
       2.3150E+00       2.0175E-07       1.2719E-08       1.2728E-05       6.2529E-06
       2.3250E+00       1.9935E-07       1.2861E-08       1.2728E-05       6.2545E-06
       2.3350E+00       1.9698E-07       1.3004E-08       1.2727E-05       6.2561E-06
       2.3450E+00       1.9462E-07       1.3148E-08       1.2727E-05       6.2576E-06
       2.3550E+00       1.9229E-07       1.3294E-08       1.2726E-05       6.2590E-06
       2.3650E+00       1.8997E-07       1.3440E-08       1.2726E-05       6.2605E-06
       2.3750E+00       1.8768E-07       1.3588E-08       1.2726E-05       6.2618E-06
       2.3850E+00       1.8541E-07       1.3737E-08       1.2726E-05       6.2631E-06
       2.3950E+00       1.8316E-07       1.3886E-08       1.2725E-05       6.2644E-06
       2.4050E+00       1.8093E-07       1.4037E-08       1.2725E-05       6.2656E-06
       2.4150E+00       1.7872E-07       1.4188E-08       1.2725E-05       6.2667E-06
       2.4250E+00       1.7653E-07       1.4341E-08       1.2725E-05       6.2678E-06
       2.4350E+00       1.7437E-07       1.4494E-08       1.2725E-05       6.2689E-06
       2.4450E+00       1.7222E-07       1.4648E-08       1.2725E-05       6.2700E-06
       2.4550E+00       1.7010E-07       1.4803E-08       1.2725E-05       6.2710E-06
       2.4650E+00       1.6801E-07       1.4958E-08       1.2725E-05       6.2719E-06
       2.4750E+00       1.6593E-07       1.5114E-08       1.2725E-05       6.2728E-06
       2.4850E+00       1.6388E-07       1.5271E-08       1.2725E-05       6.2737E-06
       2.4950E+00       1.6185E-07       1.5429E-08       1.2725E-05       6.2745E-06
       2.5050E+00       1.5984E-07       1.5587E-08       1.2725E-05       6.2753E-06
       2.5150E+00       1.5785E-07       1.5745E-08       1.2725E-05       6.2761E-06
       2.5250E+00       1.5589E-07       1.5904E-08       1.2726E-05       6.2769E-06
       2.5350E+00       1.5395E-07       1.6064E-08       1.2726E-05       6.2776E-06
       2.5450E+00       1.5204E-07       1.6224E-08       1.2726E-05       6.2782E-06
       2.5550E+00       1.5014E-07       1.6384E-08       1.2726E-05       6.2789E-06
       2.5650E+00       1.4828E-07       1.6545E-08       1.2726E-05       6.2795E-06
       2.5750E+00       1.4643E-07       1.6705E-08       1.2727E-05       6.2800E-06
       2.5850E+00       1.4461E-07       1.6866E-08       1.2727E-05       6.2806E-06
       2.5950E+00       1.4281E-07       1.7028E-08       1.2727E-05       6.2811E-06
       2.6050E+00       1.4103E-07       1.7189E-08       1.2728E-05       6.2816E-06
       2.6150E+00       1.3928E-07       1.7351E-08       1.2728E-05       6.2820E-06
       2.6250E+00       1.3755E-07       1.7512E-08       1.2728E-05       6.2824E-06
       2.6350E+00       1.3584E-07       1.7674E-08       1.2729E-05       6.2828E-06
       2.6450E+00       1.3416E-07       1.7835E-08       1.2729E-05       6.2832E-06
       2.6550E+00       1.3250E-07       1.7997E-08       1.2730E-05       6.2835E-06
       2.6650E+00       1.3086E-07       1.8158E-08       1.2730E-05       6.2838E-06
       2.6750E+00       1.2925E-07       1.8319E-08       1.2731E-05       6.2840E-06
       2.6850E+00       1.2766E-07       1.8481E-08       1.2731E-05       6.2842E-06
       2.6950E+00       1.2610E-07       1.8641E-08       1.2732E-05       6.2844E-06
       2.7050E+00       1.2456E-07       1.8802E-08       1.2732E-05       6.2846E-06
       2.7150E+00       1.2304E-07       1.8962E-08       1.2733E-05       6.2847E-06
       2.7250E+00       1.2154E-07       1.9122E-08       1.2733E-05       6.2847E-06
       2.7350E+00       1.2007E-07       1.9281E-08       1.2734E-05       6.2848E-06
       2.7450E+00       1.1862E-07       1.9440E-08       1.2735E-05       6.2848E-06
       2.7550E+00       1.1719E-07       1.9599E-08       1.2735E-05       6.2847E-06
       2.7650E+00       1.1579E-07       1.9756E-08       1.2736E-05       6.2846E-06
       2.7750E+00       1.1441E-07       1.9914E-08       1.2737E-05       6.2845E-06
       2.7850E+00       1.1305E-07       2.0071E-08       1.2737E-05       6.2843E-06
       2.7950E+00       1.1171E-07       2.0227E-08       1.2738E-05       6.2841E-06
       2.8050E+00       1.1040E-07       2.0382E-08       1.2739E-05       6.2839E-06
       2.8150E+00       1.0911E-07       2.0537E-08       1.2740E-05       6.2836E-06
       2.8250E+00       1.0784E-07       2.0690E-08       1.2741E-05       6.2832E-06
       2.8350E+00       1.0659E-07       2.0843E-08       1.2742E-05       6.2828E-06
       2.8450E+00       1.0537E-07       2.0996E-08       1.2743E-05       6.2823E-06
       2.8550E+00       1.0417E-07       2.1147E-08       1.2744E-05       6.2818E-06
       2.8650E+00       1.0299E-07       2.1297E-08       1.2745E-05       6.2813E-06
       2.8750E+00       1.0183E-07       2.1446E-08       1.2746E-05       6.2806E-06
       2.8850E+00       1.0070E-07       2.1594E-08       1.2747E-05       6.2800E-06
       2.8950E+00       9.9585E-08       2.1740E-08       1.2748E-05       6.2792E-06
       2.9050E+00       9.8499E-08       2.1885E-08       1.2750E-05       6.2785E-06
       2.9150E+00       9.7440E-08       2.2027E-08       1.2751E-05       6.2777E-06
       2.9250E+00       9.6410E-08       2.2168E-08       1.2752E-05       6.2768E-06
       2.9350E+00       9.5416E-08       2.2304E-08       1.2754E-05       6.2759E-06
       2.9450E+00       9.4463E-08       2.2436E-08       1.2755E-05       6.2751E-06
       2.9550E+00       9.3566E-08       2.2562E-08       1.2756E-05       6.2742E-06
       2.9650E+00       9.2742E-08       2.2678E-08       1.2757E-05       6.2734E-06
       2.9750E+00       9.2023E-08       2.2780E-08       1.2758E-05       6.2727E-06
       2.9850E+00       9.1456E-08       2.2860E-08       1.2759E-05       6.2721E-06
       2.9950E+00       9.1114E-08       2.2909E-08       1.2760E-05       6.2717E-06
