# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  3.51249E-01                5.37976066184523E+00   2.97581851927117E-06   3.31138455755738E-06   1.12939687870202E-04   1.69654320250473E-04
  3.56097E-01                5.38065458756571E+00   2.99169324552945E-06   3.13691427644350E-06   1.12940486364880E-04   1.69655509721794E-04
  3.60840E-01                5.38149031278651E+00   3.00671789608010E-06   2.97474470461317E-06   1.12941268135940E-04   1.69656674666137E-04
  3.65892E-01                5.38233825810248E+00   3.02217296196444E-06   2.81113797101671E-06   1.12942106227484E-04   1.69657924994711E-04
  3.70568E-01                5.38308866260194E+00   3.03602186307035E-06   2.66718483635825E-06   1.12942877004881E-04   1.69659073981376E-04
  3.75522E-01                5.38384610867758E+00   3.05019881825078E-06   2.52267791616433E-06   1.12943700824737E-04   1.69660303877183E-04
  3.80815E-01                5.38461467740774E+00   3.06480563573812E-06   2.37690188095405E-06   1.12944582699159E-04   1.69661621009939E-04
  3.85183E-01                5.38522258264696E+00   3.07649896085631E-06   2.26226125325751E-06   1.12945300881383E-04   1.69662691868476E-04
  3.89430E-01                5.38578944382027E+00   3.08754228652789E-06   2.15589290362248E-06   1.12946006820164E-04   1.69663746204869E-04
  3.94059E-01                5.38637933584920E+00   3.09920161808636E-06   2.04576349654886E-06   1.12946781323490E-04   1.69664904154888E-04
  3.98677E-01                5.38694147901723E+00   3.11047211272369E-06   1.94138598279616E-06   1.12947551662611E-04   1.69666055582355E-04
  4.03245E-01                5.38747286189510E+00   3.12127788813866E-06   1.84327098230432E-06   1.12948314094203E-04   1.69667195446333E-04
  4.07960E-01                5.38799626364710E+00   3.13208070835648E-06   1.74719126260479E-06   1.12949103453477E-04   1.69668376176660E-04
  4.12540E-01                5.38848210697233E+00   3.14225355861341E-06   1.65854301278582E-06   1.12949868764477E-04   1.69669520845106E-04
  4.17125E-01                5.38894698902405E+00   3.15213046279358E-06   1.57424370909679E-06   1.12950636882843E-04   1.69670670185212E-04
  4.22164E-01                5.38943293136414E+00   3.16262410088697E-06   1.48672807414803E-06   1.12951484906179E-04   1.69671939953921E-04
  4.26304E-01                5.38981646287653E+00   3.17101235188155E-06   1.41811431339614E-06   1.12952173168021E-04   1.69672969213932E-04
  4.30178E-01                5.39016178621642E+00   3.17865936814803E-06   1.35671528626215E-06   1.12952821648938E-04   1.69673939860274E-04
  4.34685E-01                5.39054609352947E+00   3.18729782804237E-06   1.28885820990913E-06   1.12953583528686E-04   1.69675081526843E-04
  4.39024E-01                5.39090069739395E+00   3.19537978087531E-06   1.22671378551767E-06   1.12954312001479E-04   1.69676172501319E-04
  4.43393E-01                5.39124298647030E+00   3.20328943557494E-06   1.16720388727458E-06   1.12955047418647E-04   1.69677274271864E-04
  4.48577E-01                5.39162950359358E+00   3.21236835219593E-06   1.10065334152524E-06   1.12955926001442E-04   1.69678591521548E-04
  4.52464E-01                5.39190894688471E+00   3.21900591919270E-06   1.05295661393204E-06   1.12956572434131E-04   1.69679559105552E-04
